8	-,0653	-,0566	1,3737	,4032	Quebró
29	-,0173	,0233	2,0538	,3484	No quebró
25	,1933	,0473	2,2506	,3309	No quebró
40	-,333	-,0854	3,0124	,473	No quebró
42	,5603	,1112	4,2918	,4443	No quebró
24	,3776	,1075	3,2651	,3548	No quebró
41	,4785	,091	1,2444	,1847	No quebró
13	,0109	,0011	2,1495	,6969	Quebró
11	-,2298	-,2961	,331	,1824	Quebró
20	,1227	,1055	1,1434	,1655	Quebró
38	,2907	,0597	1,8381	,3786	No quebró
34	,1398	-,0312	,4611	,2643	No quebró
23	,0769	,0195	2,0069	,5304	No quebró
19	,0115	-,0032	1,2602	,6038	Quebró
22	,5135	,1001	2,4871	,5368	No quebró
45	,1661	,0351	2,4527	,137	No quebró
27	,3132	,0511	4,45	,6852	No quebró
3	,0643	,0156	1,0077	,3978	Quebró
10	-,1353	-,1433	1,4196	,4347	Quebró
35	,1379	,0728	2,6123	,5151	No quebró
16	,3703	,1098	1,9941	,3828	Quebró
9	,0724	-,0076	1,3723	,3361	Quebró
21	-,2843	-,2703	1,2722	,5128	Quebró
33	-,0985	-,0123	2,5029	,5778	No quebró
44	,4746	,138	2,9166	,4487	No quebró
32	,146	,0518	2,1692	,55	No quebró
14	-,2777	-,2316	1,1918	,6601	Quebró
43	,2029	,0792	1,9936	,3018	No quebró
28	,1184	,0499	2,521	,6925	No quebró
5	-,1002	-,0917	1,5644	,6683	Quebró
30	,2169	,0779	2,3489	,397	No quebró
46	,5808	,0371	5,0594	,1268	No quebró
36	,1486	,0564	2,2347	,5563	No quebró
18	,0451	,0263	1,6756	,9494	Quebró
12	,0713	,0205	1,3124	,2497	Quebró
1	-,4485	-,4106	1,0865	,4526	Quebró
15	,1454	,05	1,8762	,2723	Quebró
26	,3248	,0718	4,2401	,6279	No quebró
37	,1633	,0486	2,308	,1978	No quebró
17	-,0757	-,0821	1,5077	,4215	Quebró
2	-,5633	-,3114	1,5134	,1642	Quebró
6	-,1421	-,0651	,7066	,2794	Quebró
4	-,0721	-,093	1,4544	,2589	Quebró
39	,5383	,1064	2,3293	,4835	No quebró
31	,1703	,0695	1,7973	,5174	No quebró
7	-,0351	-,0147	1,5046	,708	Quebró
